Organization_ID,Industry,Company_Size,Primary_AI_Tool,Adoption_Year,Employee_Count,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD,Productivity_Gain_Pct
ORG_050,Tech,Small (<100),Generative AI Content,2024,3084,7,900586.8096416217,1364646.4195283072,24.92849380537132
ORG_051,Retail,Medium (100-999),DevOps Copilots,2025,4646,1,943475.8883394803,1276504.3799261914,10.912311748612833
ORG_052,Manufacturing,Large (1000+),Automation Systems,2023,2977,8,766567.1824208209,1213274.1395911481,27.700823963874008
ORG_053,Manufacturing,Medium (100-999),Customer Chatbots,2024,4863,5,968173.9560274947,1428287.146970873,23.198496446783224
ORG_054,Retail,Medium (100-999),Customer Chatbots,2025,1499,8,279094.24567487097,429849.79059392784,32.01183750332201
ORG_055,Finance,Small (<100),Predictive Analytics,2021,3339,8,782209.3923208535,1138835.2396505603,29.48174549586571
ORG_056,Tech,Small (<100),Customer Chatbots,2024,2518,10,522358.5986843639,834893.9660120717,35.503884727566785
ORG_057,Finance,Medium (100-999),Generative AI Content,2023,998,4,202744.57085766862,297893.0696980101,17.764996269686893
ORG_058,Healthcare,Large (1000+),DevOps Copilots,2023,833,4,166281.8869342756,241775.40052189253,16.265829598479815
ORG_059,Tech,Small (<100),Generative AI Content,2024,1044,8,177554.45134824768,281024.0986357955,27.524783904929727
ORG_060,Manufacturing,Small (<100),Automation Systems,2023,616,10,155870.4890763439,248918.7899283201,31.184515622114617
ORG_061,Manufacturing,Medium (100-999),DevOps Copilots,2022,4290,7,937000.6177604795,1494530.6308663154,25.553802443193604
ORG_062,Retail,Medium (100-999),Automation Systems,2026,1712,4,327870.71155758906,451148.8278792737,16.565326154431382
ORG_063,Finance,Medium (100-999),Customer Chatbots,2023,1906,5,494294.3156214914,713608.9765012149,26.739110444825485
ORG_064,Manufacturing,Medium (100-999),Predictive Analytics,2023,4471,4,1107356.811353985,1533250.1440564839,17.886105883058416
ORG_065,Tech,Medium (100-999),Customer Chatbots,2026,4109,9,925356.5476074436,1133731.9912720327,28.413268866309853
ORG_066,Education,Large (1000+),DevOps Copilots,2024,179,5,48416.716815694395,65821.65116060477,21.92229404420203
ORG_067,Finance,Large (1000+),Customer Chatbots,2024,4038,2,894922.1301539111,1031218.71893154,11.608248526588355
ORG_068,Finance,Medium (100-999),Customer Chatbots,2025,4516,1,989558.6577725841,1568541.871575921,11.541750570007457
ORG_069,Healthcare,Large (1000+),DevOps Copilots,2024,454,4,109244.72131225899,144314.51395172643,15.516117751863467
ORG_070,Finance,Small (<100),Generative AI Content,2023,3980,2,621457.9977558664,904153.9041956076,13.10750138393335
ORG_071,Tech,Medium (100-999),Predictive Analytics,2026,939,8,279842.53966124187,438324.7940847602,27.918615602617862
ORG_072,Retail,Medium (100-999),Customer Chatbots,2026,2006,8,466663.49733908346,631918.5830537288,33.793262551464764
ORG_073,Manufacturing,Small (<100),Customer Chatbots,2023,4169,5,1142418.3880609223,1591924.450233282,27.489023332293385
ORG_074,Healthcare,Small (<100),DevOps Copilots,2024,2733,9,721415.4430725113,1107229.0291832162,37.30774631332594
ORG_075,Tech,Medium (100-999),Customer Chatbots,2021,3884,7,815662.6348656431,1297237.2520038355,27.453286496164235
ORG_076,Tech,Medium (100-999),DevOps Copilots,2023,832,8,143558.24960307137,202651.0888571773,28.974833238857734
ORG_077,Tech,Medium (100-999),DevOps Copilots,2023,2604,8,742044.1636760174,1186315.6224580314,32.46766366737927
ORG_078,Finance,Small (<100),Automation Systems,2023,2463,1,392879.28913630656,505800.8684949393,8.955697956993983
ORG_079,Healthcare,Medium (100-999),Predictive Analytics,2022,656,10,189631.64527561876,295145.4438851161,31.431177201285095
ORG_080,Healthcare,Small (<100),Generative AI Content,2024,3821,5,964420.6421638827,1227498.017097851,23.375717051264214
ORG_081,Retail,Medium (100-999),Generative AI Content,2024,2484,4,749331.6142966645,935118.0436194343,21.99279079550734
ORG_082,Tech,Large (1000+),Customer Chatbots,2023,4646,1,1341541.2219795575,2081357.5511100753,15.257409796033809
ORG_083,Tech,Large (1000+),Predictive Analytics,2024,2063,3,512775.02975094353,643259.0671059667,16.908231901628117
ORG_084,Healthcare,Medium (100-999),Automation Systems,2026,2686,7,475925.2597091877,754696.001301495,27.80852373702785
ORG_085,Education,Large (1000+),Generative AI Content,2026,3957,5,1041044.898033071,1646356.9627820826,18.907570150058827
ORG_086,Education,Large (1000+),Customer Chatbots,2026,4575,6,752728.5738263596,874515.817991488,23.68585658616039
ORG_087,Retail,Small (<100),Customer Chatbots,2025,3053,2,771734.1692442567,1212845.5110048961,13.280062818173759
ORG_088,Retail,Medium (100-999),Customer Chatbots,2026,2485,7,419273.37159041886,542675.1327399012,26.210115154868827
ORG_089,Education,Medium (100-999),DevOps Copilots,2023,1275,7,324482.6761645381,509284.1696926323,25.297401400857886
ORG_090,Retail,Small (<100),Customer Chatbots,2026,2981,2,886141.4773891439,1260459.5160558396,10.605500891666088
ORG_091,Finance,Large (1000+),Customer Chatbots,2021,1747,10,519211.4071153109,827836.0942870716,37.86978099976316
ORG_092,Tech,Large (1000+),DevOps Copilots,2022,1779,4,358124.8705716567,438820.1085095733,16.744971209013933
ORG_093,Retail,Small (<100),Automation Systems,2023,1959,10,395740.23934971914,582859.1404930549,34.7624596542325
ORG_094,Manufacturing,Medium (100-999),Automation Systems,2024,1824,10,290600.4786782211,459733.76168284327,30.60825407494506
ORG_095,Healthcare,Medium (100-999),Automation Systems,2024,3643,2,1042137.6765463857,1212105.9485189891,16.24317494281208
ORG_096,Healthcare,Medium (100-999),Customer Chatbots,2026,4356,5,955259.2041640012,1385975.7490098968,26.02792737295575
ORG_097,Retail,Large (1000+),Predictive Analytics,2023,1881,7,382506.3627281347,438942.468265085,26.76764006260958
ORG_098,Retail,Medium (100-999),Predictive Analytics,2024,3895,2,640043.982763218,942333.2257211045,13.726468593759035
ORG_099,Tech,Small (<100),DevOps Copilots,2024,1011,7,212544.9017903889,326053.6722326193,29.710606787461494
ORG_100,Education,Medium (100-999),Generative AI Content,2022,4166,4,726190.7617665998,925934.6120275768,20.56265476104327
ORG_101,Tech,Small (<100),Predictive Analytics,2025,4605,10,1120078.5529605066,1752410.1023745306,38.29460789959663
ORG_102,Finance,Small (<100),Generative AI Content,2026,2885,1,512681.0831725926,581786.7560591612,14.9096905911842
ORG_103,Education,Small (<100),DevOps Copilots,2022,3449,8,697111.0684980609,1037592.5298890513,30.675935566143973
ORG_104,Tech,Small (<100),Predictive Analytics,2025,417,2,85650.29590150589,113145.93318775913,12.731668443647695
ORG_105,Manufacturing,Small (<100),Customer Chatbots,2022,4868,8,1119124.0018410317,1781894.784392815,25.54781958518081
ORG_106,Tech,Large (1000+),Predictive Analytics,2025,2381,6,404986.65150590916,471644.55904545286,25.325823478674238
ORG_107,Tech,Medium (100-999),Generative AI Content,2021,356,7,60010.11285371794,87299.68051576345,26.676939598434807
ORG_108,Tech,Small (<100),Generative AI Content,2022,3779,6,623368.4302243047,869247.1585435102,25.239625430006317
ORG_109,Finance,Medium (100-999),Generative AI Content,2022,1387,2,316553.6667576354,491595.614673778,13.493752654723803
ORG_110,Retail,Large (1000+),Predictive Analytics,2022,1209,5,223590.4583603523,319232.2842570005,19.271461289472292
ORG_111,Manufacturing,Medium (100-999),DevOps Copilots,2025,3687,10,916123.1485940742,1452500.9138446897,33.1613889449058
ORG_112,Finance,Medium (100-999),Generative AI Content,2025,4854,1,986634.8636148046,1103850.6597787666,11.187375994898128
ORG_113,Finance,Medium (100-999),Automation Systems,2024,4163,7,919285.4847480982,1422997.28657263,26.997337036509062
ORG_114,Manufacturing,Medium (100-999),Generative AI Content,2024,4117,3,1213093.410144543,1842311.1195277679,22.323855810933974
ORG_115,Tech,Medium (100-999),Automation Systems,2022,3596,8,827674.8543277321,1290318.9388677285,28.874165595231158
ORG_116,Manufacturing,Medium (100-999),Automation Systems,2025,2751,2,554021.0886586694,679228.6870867085,18.515662599844042
ORG_117,Education,Medium (100-999),Predictive Analytics,2023,4783,3,1378276.6946687812,1972407.091893832,13.789516582715603
ORG_118,Retail,Small (<100),DevOps Copilots,2023,2700,3,685717.842886752,989290.0829107123,17.763933397341738
ORG_119,Retail,Medium (100-999),Generative AI Content,2021,2540,3,746073.3381603654,892305.6647885268,22.499766211030284
ORG_120,Tech,Small (<100),Automation Systems,2024,4431,9,692342.2566285825,806941.8768275998,31.267198708225248
ORG_121,Tech,Large (1000+),DevOps Copilots,2025,1366,8,217192.191683823,344204.9477551935,31.10595422125816
ORG_122,Manufacturing,Large (1000+),Predictive Analytics,2024,2545,8,728578.6979348845,1009234.2771753083,29.405974035090203
ORG_123,Manufacturing,Large (1000+),DevOps Copilots,2024,1337,4,364588.2973718551,517930.3136691939,23.74116945052237
ORG_124,Healthcare,Small (<100),DevOps Copilots,2025,2345,2,623025.3986978676,980147.6888280804,12.220380069069806
ORG_125,Healthcare,Medium (100-999),Automation Systems,2023,3257,9,675823.6096709864,819280.2678145367,30.686848754497312
ORG_126,Tech,Medium (100-999),Generative AI Content,2025,1137,1,228199.97298145932,266856.2145410723,14.555361752890803
ORG_127,Finance,Small (<100),Automation Systems,2021,1776,3,419252.46353366587,484485.3924387878,15.381015780392305
ORG_128,Finance,Small (<100),Customer Chatbots,2024,3754,2,633971.1823777579,702578.0704509165,15.15375730209406
ORG_129,Tech,Small (<100),Customer Chatbots,2021,2900,4,685005.1675713982,932800.4979052393,18.606037577068754
ORG_130,Education,Medium (100-999),DevOps Copilots,2024,3208,8,506529.4611828573,746451.3425297611,28.57093876514733
ORG_131,Tech,Small (<100),Automation Systems,2025,2733,3,433971.9742403123,515361.05873166496,20.291425934782815
ORG_132,Healthcare,Medium (100-999),Predictive Analytics,2025,526,8,81916.61829466643,126388.75657801493,28.155958200497253
ORG_133,Finance,Medium (100-999),DevOps Copilots,2024,309,4,65346.42875401805,97998.15760159068,19.369513831249364
ORG_134,Finance,Medium (100-999),Customer Chatbots,2023,1540,8,393622.5348907019,485478.4265745055,25.826115066340662
ORG_135,Finance,Medium (100-999),Predictive Analytics,2024,2641,2,433665.43392717664,607700.0621617404,14.261160728830454
ORG_136,Retail,Medium (100-999),Automation Systems,2025,2898,10,874337.1067919185,1311984.786238949,36.794106078146896
ORG_137,Education,Small (<100),DevOps Copilots,2024,3599,1,610442.5172242179,782022.8255576511,16.994671118799197
ORG_138,Tech,Small (<100),Customer Chatbots,2026,3057,8,814001.4028269413,1057401.6789987243,31.495607367060316
ORG_139,Tech,Small (<100),Predictive Analytics,2024,3180,9,541359.6264121503,653575.4717266059,33.61877182763642
ORG_140,Retail,Large (1000+),Predictive Analytics,2022,616,8,114951.09356727845,143134.9338920068,27.99956678236738
ORG_141,Tech,Medium (100-999),Predictive Analytics,2025,4177,4,706398.2336187378,1056197.1240078262,15.262840268082657
ORG_142,Healthcare,Medium (100-999),DevOps Copilots,2022,716,2,145999.75408311063,220703.4044190022,10.737507129112391
ORG_143,Education,Medium (100-999),Customer Chatbots,2024,4248,6,726490.9946700162,1012650.7085470802,27.67781637357657
ORG_144,Tech,Medium (100-999),Automation Systems,2025,4254,3,837252.4346675631,953990.5017739729,14.463019194830736
ORG_145,Education,Small (<100),Generative AI Content,2024,775,9,196515.94437132846,232989.36486684578,33.744791874336656
ORG_146,Education,Medium (100-999),DevOps Copilots,2021,242,2,44097.00879714192,62863.15184948878,17.66959000916311
ORG_147,Finance,Medium (100-999),Customer Chatbots,2025,4479,5,1107216.185424203,1664892.9180799727,21.560925267445583
ORG_148,Healthcare,Medium (100-999),Predictive Analytics,2023,3976,8,723611.6906788482,1055880.750655306,32.34199754804547
ORG_149,Manufacturing,Large (1000+),Predictive Analytics,2025,4228,9,705532.0115295144,934687.4020419404,28.908776350081837
ORG_150,Tech,Large (1000+),DevOps Copilots,2023,1318,6,388239.1582223749,457994.5559757662,29.959694110954167
ORG_151,Healthcare,Large (1000+),Customer Chatbots,2021,3231,9,709111.796865551,797275.0045890417,30.313563383735286
ORG_152,Healthcare,Large (1000+),Customer Chatbots,2023,76,2,22740.3648435308,29569.087433628156,15.702816438810293
ORG_153,Tech,Medium (100-999),Automation Systems,2023,3699,9,713278.1894323693,905537.0827822551,36.88948566955375
ORG_154,Manufacturing,Small (<100),DevOps Copilots,2023,339,1,61567.131521104355,83710.75731335906,8.989406645764449
ORG_155,Manufacturing,Small (<100),DevOps Copilots,2023,3229,10,846401.3416897546,1281574.0996495832,35.32339829875876
ORG_156,Retail,Small (<100),Automation Systems,2023,907,7,224169.52751114056,323705.6903608373,22.766471549638332
ORG_157,Healthcare,Large (1000+),DevOps Copilots,2024,430,10,100787.14368234776,149901.02770297634,33.801903363151524
ORG_158,Manufacturing,Small (<100),DevOps Copilots,2026,910,4,143331.64523960155,207150.07898147492,19.103774093227052
ORG_159,Manufacturing,Large (1000+),Automation Systems,2025,4259,4,1001876.0816219639,1375712.7259801736,21.75868576556368
ORG_160,Manufacturing,Medium (100-999),Generative AI Content,2024,1585,4,311353.3544815674,418615.06450858974,19.798034232020612
ORG_161,Healthcare,Large (1000+),Generative AI Content,2023,4707,9,978123.8162316481,1425195.4985830695,30.963635140956164
ORG_162,Finance,Small (<100),Customer Chatbots,2022,4422,5,1287954.946285727,1813232.5818086364,23.36830498570815
ORG_163,Tech,Medium (100-999),DevOps Copilots,2022,1917,1,320258.2909869995,461362.81081400346,8.874670341996955
ORG_164,Education,Large (1000+),Predictive Analytics,2023,3906,8,973282.5226836203,1209505.656649487,25.591625862414908
ORG_165,Manufacturing,Medium (100-999),Predictive Analytics,2024,315,3,73209.30043415602,107947.23067778943,21.222906852218486
ORG_166,Finance,Small (<100),Generative AI Content,2024,889,6,175956.33874841355,268426.65045143804,24.6802076900629
ORG_167,Tech,Small (<100),Predictive Analytics,2025,2117,3,326229.67548175686,468857.4755361272,14.431612877212086
ORG_168,Retail,Medium (100-999),Customer Chatbots,2025,4231,6,695410.4819173074,813843.01620811,23.236016700850826
ORG_169,Tech,Small (<100),Predictive Analytics,2023,2197,6,435772.53486956394,492885.82712941914,21.182248478039725
ORG_170,Finance,Medium (100-999),DevOps Copilots,2026,2557,2,635918.1639508558,769731.0019413672,19.573605368552265
ORG_171,Healthcare,Medium (100-999),DevOps Copilots,2023,4509,8,1196394.7012039209,1672448.8060554136,32.87370689823257
ORG_172,Healthcare,Medium (100-999),Generative AI Content,2021,4631,2,742880.8302417636,1029893.4608815621,11.498523813824143
ORG_173,Finance,Medium (100-999),Automation Systems,2024,4787,8,788536.7269557558,1046164.410591224,30.132478432016416
ORG_174,Healthcare,Small (<100),Customer Chatbots,2024,2534,1,539871.496242018,749965.5298467376,7.952898027278287
ORG_175,Finance,Small (<100),Automation Systems,2026,575,8,92633.69196303627,137367.78399770035,34.783332849241006
ORG_176,Retail,Medium (100-999),Customer Chatbots,2023,3102,7,507219.8545456682,806156.058078034,30.848216116687155
ORG_177,Manufacturing,Large (1000+),Customer Chatbots,2024,4470,7,1033635.8836593147,1315901.0338058511,25.256497277951272
ORG_178,Education,Medium (100-999),Automation Systems,2021,3444,10,916221.603485452,1023225.4184393258,35.97784896731552
ORG_179,Retail,Small (<100),Automation Systems,2023,1929,9,357235.6530377865,538673.1864286126,34.815174831160185
ORG_180,Finance,Medium (100-999),Generative AI Content,2022,1183,9,220945.1083833162,347825.07449697267,36.29713890963883
ORG_181,Education,Medium (100-999),Customer Chatbots,2024,394,6,122492.38022431135,154262.8894148321,24.163246334214445
ORG_182,Tech,Medium (100-999),DevOps Copilots,2024,1856,5,519867.03002732346,586832.1248646011,21.626774889810843
ORG_183,Finance,Medium (100-999),Customer Chatbots,2022,1675,6,417283.1445933116,599567.4277859492,26.029220449890758
ORG_184,Manufacturing,Small (<100),DevOps Copilots,2025,4588,4,1025019.5688732967,1618003.5169297645,15.153337062284928
ORG_185,Education,Large (1000+),Automation Systems,2025,3933,4,1006493.4585627278,1227585.3267329186,18.216150088274023
ORG_186,Finance,Medium (100-999),Generative AI Content,2023,2956,9,839247.2792764191,1226313.820108739,35.116289693097116
ORG_187,Finance,Small (<100),Generative AI Content,2023,4618,4,1212195.2741865793,1512330.1495518405,16.961917827268337
ORG_188,Tech,Medium (100-999),Predictive Analytics,2024,2775,5,738857.6314290388,1085970.7635938805,22.108289984482052
ORG_189,Retail,Medium (100-999),Predictive Analytics,2025,4010,3,1158418.605766995,1308278.616996687,12.838237571646905
ORG_190,Manufacturing,Large (1000+),Automation Systems,2025,3388,3,938234.46562266,1036346.3293971001,17.557329196930652
ORG_191,Finance,Medium (100-999),DevOps Copilots,2026,4006,1,610052.6823224715,832544.2783170186,10.24740737197832
ORG_192,Education,Small (<100),Customer Chatbots,2025,1478,2,430341.6583690885,606734.5819804688,12.524181963146805
ORG_193,Finance,Large (1000+),Automation Systems,2023,3336,8,792277.7856488787,1130475.7083597176,33.58219159021187
ORG_194,Manufacturing,Small (<100),Customer Chatbots,2023,3909,1,965465.9416641806,1470081.098881932,13.949072419433021
ORG_195,Finance,Large (1000+),Automation Systems,2025,358,4,69964.93089056459,79562.30241689393,24.25584810080923
ORG_196,Manufacturing,Medium (100-999),Automation Systems,2022,2586,1,767059.271487179,1117111.1422487786,11.48296020395122
ORG_197,Tech,Small (<100),Predictive Analytics,2024,3197,9,644650.7645941629,1027727.376730481,34.74163570094315
ORG_198,Healthcare,Large (1000+),Automation Systems,2021,1911,2,387715.77379613835,432230.5188168248,12.733270286287972
ORG_199,Education,Medium (100-999),Generative AI Content,2024,3085,7,554175.4734623535,823551.1391978579,25.453794807050762
ORG_200,Tech,Small (<100),Generative AI Content,2022,1273,7,255391.95742596913,315379.2431619403,23.825070044941995
ORG_201,Tech,Medium (100-999),DevOps Copilots,2024,856,1,145368.58869661274,216921.82269807503,16.137181772681913
ORG_202,Tech,Medium (100-999),Automation Systems,2025,4593,4,1086171.462249794,1270190.6634041723,18.011312653750686
ORG_203,Healthcare,Small (<100),Customer Chatbots,2023,2465,8,665644.201169399,937449.6240167198,29.578616329056945
ORG_204,Tech,Small (<100),Customer Chatbots,2023,3122,6,678107.3451768764,966654.5175142052,25.943929190644955
ORG_205,Finance,Medium (100-999),Predictive Analytics,2024,1465,7,435281.61695962114,585673.0072029197,28.258792816249606
ORG_206,Tech,Medium (100-999),Customer Chatbots,2023,4629,4,1111054.7109781217,1527755.3120195018,24.530046114862962
ORG_207,Healthcare,Medium (100-999),Customer Chatbots,2025,576,7,147769.51696534833,181215.79392601206,24.041432344558565
ORG_208,Finance,Medium (100-999),Customer Chatbots,2026,3935,10,832110.2101818804,1203110.2360936408,35.43645203387477
ORG_209,Manufacturing,Medium (100-999),DevOps Copilots,2024,706,2,193170.60172073377,274978.3368668959,10.442966935278495
ORG_210,Education,Medium (100-999),Customer Chatbots,2026,2726,7,455450.5406455097,671072.9023191116,28.079934163430206
ORG_211,Retail,Small (<100),Generative AI Content,2023,4831,9,840099.0609599791,1068213.9652676706,35.34269997528697
ORG_212,Healthcare,Medium (100-999),Automation Systems,2023,3716,6,597349.4743267231,689748.2919969432,28.000501257505572
ORG_213,Education,Medium (100-999),DevOps Copilots,2022,1321,6,316131.8758046847,411769.26629573066,21.844517751513937
ORG_214,Retail,Medium (100-999),Automation Systems,2025,1626,8,392046.5906935424,471589.80153969873,32.52325495360492
ORG_215,Manufacturing,Small (<100),Automation Systems,2025,4408,3,906889.3237723573,1301704.2384973918,17.39483978805803
ORG_216,Education,Medium (100-999),Customer Chatbots,2024,4818,2,982243.3454695592,1480112.1726174245,17.059883609459803
ORG_217,Finance,Medium (100-999),Automation Systems,2024,2575,2,481301.56812123937,563449.7692044821,13.88463269309991
ORG_218,Healthcare,Medium (100-999),Customer Chatbots,2022,4412,3,1033999.8042653569,1300037.6214844456,17.010009707466512
ORG_219,Tech,Medium (100-999),Automation Systems,2024,1608,7,478712.5209881975,690470.2077250155,26.65630435274112
ORG_220,Manufacturing,Medium (100-999),Automation Systems,2024,1816,5,284978.94059836643,424724.0918312786,23.156504611858594
ORG_221,Manufacturing,Medium (100-999),DevOps Copilots,2022,945,5,258374.1818205247,390482.31271556806,17.916105222702335
ORG_222,Retail,Medium (100-999),Customer Chatbots,2022,2037,5,575671.023408862,881409.7961461969,18.36983005993589
ORG_223,Manufacturing,Small (<100),Predictive Analytics,2022,4826,6,1352874.7332115425,1904949.9015443244,27.84849309970585
ORG_224,Manufacturing,Large (1000+),DevOps Copilots,2023,2312,10,536600.458280347,667888.6796278957,32.6734306627808
ORG_225,Manufacturing,Large (1000+),Automation Systems,2022,3381,1,1016931.771197072,1558996.4698100707,9.996772419381397
ORG_226,Retail,Large (1000+),Customer Chatbots,2024,4740,5,1161911.6400572413,1739729.5031361177,25.188842348239927
ORG_227,Finance,Medium (100-999),Generative AI Content,2024,4008,6,957600.0135774532,1460390.8883181235,27.956779266478453
ORG_228,Finance,Large (1000+),Predictive Analytics,2024,2654,5,538176.6457844266,722593.0729885399,20.93739620552619
ORG_229,Retail,Small (<100),Automation Systems,2024,3774,1,643627.0008697072,708207.2248426424,17.080317693039724
ORG_230,Tech,Medium (100-999),Predictive Analytics,2025,2482,3,702325.9539153142,1005909.4417371425,18.989112091476102
ORG_231,Tech,Medium (100-999),Predictive Analytics,2023,757,2,118581.59669641983,143850.79312105934,16.799827251215792
ORG_232,Tech,Medium (100-999),Automation Systems,2026,3469,3,772900.0950993632,1161652.1613650045,13.532015332084258
ORG_233,Finance,Small (<100),Customer Chatbots,2025,1100,3,181845.1808132408,214951.60073012754,16.01187718826771
ORG_234,Tech,Medium (100-999),Customer Chatbots,2024,3634,4,597852.5902366458,945578.2175834995,18.145036681821693
ORG_235,Tech,Small (<100),Automation Systems,2022,4933,10,1280209.7760541607,1796727.6096115732,31.886465232658658
ORG_236,Finance,Medium (100-999),Predictive Analytics,2024,933,4,215549.7842590414,342475.94577412267,24.86882532843189
ORG_237,Education,Small (<100),DevOps Copilots,2023,4485,3,1190934.9397730315,1608386.7935300888,16.654319943754018
